,Stacja,Rok,Miesiąc,Absolutna temperatura maksymalna [°C],Absolutna temperatura minimalna [°C],Średnia temperatura maksymalna [°C],Średnia temperatura minimalna [°C],Średnia temperatura miesięczna [°C],Miesieczna suma opadów [mm]
420,JELENIA GÓRA,1986,1,9.0,-19.7,2.0,-5.5,-1.4,39.7
421,JELENIA GÓRA,1986,2,4.8,-25.7,-4.5,-14.2,-9.5,19.7
422,JELENIA GÓRA,1986,3,19.4,-12.6,7.4,-1.5,2.8,21.4
423,JELENIA GÓRA,1986,4,24.3,-10.1,13.3,2.3,7.4,45.5
424,JELENIA GÓRA,1986,5,27.6,0.5,20.4,7.7,14.1,136.3
425,JELENIA GÓRA,1986,6,28.2,2.7,20.1,8.7,14.4,67.4
426,JELENIA GÓRA,1986,7,29.0,4.4,22.0,9.9,15.8,86.3
427,JELENIA GÓRA,1986,8,30.6,1.5,21.2,10.8,15.6,135.0
428,JELENIA GÓRA,1986,9,23.1,-0.8,16.1,6.0,10.7,45.1
429,JELENIA GÓRA,1986,10,22.5,-4.0,14.9,3.1,8.6,37.9
430,JELENIA GÓRA,1986,11,15.9,-6.9,10.2,0.3,4.6,13.3
431,JELENIA GÓRA,1986,12,15.8,-19.0,3.8,-3.5,0.5,87.8
432,JELENIA GÓRA,1987,1,5.8,-31.1,-5.1,-13.7,-9.4,48.8
433,JELENIA GÓRA,1987,2,9.2,-23.4,2.7,-6.5,-2.3,22.3
434,JELENIA GÓRA,1987,3,12.5,-16.8,2.1,-6.3,-2.3,10.7
435,JELENIA GÓRA,1987,4,22.9,-3.0,13.0,2.1,7.6,45.8
436,JELENIA GÓRA,1987,5,23.5,-1.8,15.6,4.5,9.6,85.0
437,JELENIA GÓRA,1987,6,30.6,3.4,19.4,8.6,14.0,81.0
438,JELENIA GÓRA,1987,7,30.5,6.2,22.2,10.9,16.4,94.6
439,JELENIA GÓRA,1987,8,27.2,0.8,19.8,9.4,14.3,105.1
440,JELENIA GÓRA,1987,9,27.5,2.5,19.2,8.8,13.5,72.4
441,JELENIA GÓRA,1987,10,22.1,-5.7,14.0,5.0,9.5,25.7
442,JELENIA GÓRA,1987,11,12.2,-4.8,7.0,1.4,4.3,63.3
443,JELENIA GÓRA,1987,12,12.3,-17.1,3.8,-2.9,0.3,39.8
444,JELENIA GÓRA,1988,1,16.7,-11.1,6.4,-1.7,2.0,33.0
445,JELENIA GÓRA,1988,2,12.8,-11.5,4.9,-1.3,1.6,50.8
446,JELENIA GÓRA,1988,3,11.7,-11.2,4.8,-2.1,1.2,68.9
447,JELENIA GÓRA,1988,4,23.0,-7.2,13.6,0.3,6.9,10.8
448,JELENIA GÓRA,1988,5,25.2,-0.6,19.6,6.0,13.1,34.8
449,JELENIA GÓRA,1988,6,26.5,3.9,19.6,9.8,14.5,87.2
450,JELENIA GÓRA,1988,7,33.0,7.1,23.6,10.7,16.9,149.6
451,JELENIA GÓRA,1988,8,29.5,3.8,22.7,9.3,15.8,61.1
452,JELENIA GÓRA,1988,9,25.2,1.9,17.4,8.5,12.6,98.4
453,JELENIA GÓRA,1988,10,21.0,-7.6,13.8,4.6,9.1,8.5
454,JELENIA GÓRA,1988,11,9.8,-22.1,4.3,-3.5,0.2,71.7
455,JELENIA GÓRA,1988,12,9.5,-12.8,4.0,-1.9,1.4,78.5
456,JELENIA GÓRA,1989,1,10.8,-10.7,5.6,-3.5,0.9,17.3
457,JELENIA GÓRA,1989,2,13.1,-8.0,7.7,-2.0,2.6,23.7
458,JELENIA GÓRA,1989,3,21.0,-6.2,11.8,-0.7,5.2,21.5
459,JELENIA GÓRA,1989,4,22.2,-7.6,13.4,2.4,7.7,92.2
460,JELENIA GÓRA,1989,5,24.7,-1.5,18.6,4.0,11.8,33.6
461,JELENIA GÓRA,1989,6,28.0,0.5,19.8,7.8,13.9,95.6
462,JELENIA GÓRA,1989,7,30.5,4.7,22.1,10.9,16.5,104.1
463,JELENIA GÓRA,1989,8,32.7,3.5,22.6,9.5,16.2,38.5
464,JELENIA GÓRA,1989,9,27.9,-0.3,19.3,7.7,13.3,51.0
465,JELENIA GÓRA,1989,10,24.5,-2.2,15.5,4.4,9.7,38.2
466,JELENIA GÓRA,1989,11,14.9,-15.1,6.3,-4.1,0.9,40.9
467,JELENIA GÓRA,1989,12,15.6,-18.9,5.8,-3.7,0.8,15.0
468,JELENIA GÓRA,1990,1,13.5,-15.5,5.3,-3.3,1.3,11.2
469,JELENIA GÓRA,1990,2,19.5,-7.1,10.8,-1.3,4.7,26.9
470,JELENIA GÓRA,1990,3,21.0,-5.9,11.8,0.9,6.0,23.8
471,JELENIA GÓRA,1990,4,21.2,-8.5,12.0,0.7,6.3,48.3
472,JELENIA GÓRA,1990,5,24.0,-1.9,19.4,4.0,12.2,36.7
473,JELENIA GÓRA,1990,6,28.1,2.5,20.6,9.0,14.8,69.4
474,JELENIA GÓRA,1990,7,31.5,3.4,22.1,8.6,15.6,16.4
475,JELENIA GÓRA,1990,8,32.8,4.7,24.8,9.2,16.8,60.7
476,JELENIA GÓRA,1990,9,21.5,3.5,15.0,7.3,10.9,68.3
477,JELENIA GÓRA,1990,10,24.5,-7.5,15.7,3.3,9.2,23.4
478,JELENIA GÓRA,1990,11,12.2,-4.7,7.1,0.6,3.8,52.5
479,JELENIA GÓRA,1990,12,11.6,-15.5,2.2,-3.7,-0.5,24.4
480,ŚNIEŻKA,1986,1,-0.8,-17.2,-6.9,-10.8,-8.9,142.8
481,ŚNIEŻKA,1986,2,-1.9,-22.6,-10.1,-14.9,-12.6,43.5
482,ŚNIEŻKA,1986,3,4.8,-15.6,-1.9,-6.5,-4.4,45.1
