,Stacja,Rok,Miesiąc,Absolutna temperatura maksymalna [°C],Absolutna temperatura minimalna [°C],Średnia temperatura maksymalna [°C],Średnia temperatura minimalna [°C],Średnia temperatura miesięczna [°C],Miesieczna suma opadów [mm]
479,JELENIA GÓRA,1995,12,10.2,-19.6,0.0,-7.2,-3.6,36.2
480,ŚNIEŻKA,1991,1,3.6,-14.3,-2.4,-7.2,-5.0,31.5
481,ŚNIEŻKA,1991,2,7.0,-24.9,-6.7,-12.4,-9.8,59.9
482,ŚNIEŻKA,1991,3,8.6,-10.6,1.2,-3.4,-1.4,49.3
483,ŚNIEŻKA,1991,4,5.2,-11.9,-0.2,-3.9,-2.2,60.4
484,ŚNIEŻKA,1991,5,8.5,-5.9,1.4,-2.6,-0.7,100.3
485,ŚNIEŻKA,1991,6,15.6,-4.8,8.1,2.4,4.7,103.0
486,ŚNIEŻKA,1991,7,21.0,3.8,12.8,7.6,10.0,148.5
487,ŚNIEŻKA,1991,8,21.4,2.0,11.2,6.8,8.7,146.0
488,ŚNIEŻKA,1991,9,14.8,-4.0,9.1,3.8,6.2,33.9
489,ŚNIEŻKA,1991,10,11.0,-9.9,2.7,-1.7,0.4,28.7
490,ŚNIEŻKA,1991,11,6.1,-9.5,-0.5,-4.5,-2.5,72.9
491,ŚNIEŻKA,1991,12,6.1,-14.8,-2.4,-7.5,-5.0,122.9
492,ŚNIEŻKA,1992,1,6.4,-17.7,-1.2,-7.3,-4.2,52.2
493,ŚNIEŻKA,1992,2,6.0,-15.5,-2.0,-6.9,-4.5,133.9
494,ŚNIEŻKA,1992,3,4.3,-12.7,-2.2,-6.7,-4.6,103.0
495,ŚNIEŻKA,1992,4,10.5,-10.4,0.2,-4.0,-2.1,28.6
496,ŚNIEŻKA,1992,5,12.5,-4.9,7.1,1.6,4.1,34.6
497,ŚNIEŻKA,1992,6,15.8,1.2,10.9,6.4,8.3,73.3
498,ŚNIEŻKA,1992,7,20.3,1.3,13.7,7.8,10.2,71.3
499,ŚNIEŻKA,1992,8,22.9,2.7,15.9,9.8,12.4,33.6
500,ŚNIEŻKA,1992,9,13.7,-2.3,8.3,3.2,5.4,42.5
501,ŚNIEŻKA,1992,10,8.8,-8.0,0.7,-3.7,-1.8,108.5
502,ŚNIEŻKA,1992,11,9.4,-9.6,-0.3,-5.6,-3.2,62.4
503,ŚNIEŻKA,1992,12,8.4,-13.8,-0.4,-6.0,-3.4,33.3
504,ŚNIEŻKA,1993,1,8.1,-17.7,-2.4,-8.8,-5.5,119.1
505,ŚNIEŻKA,1993,2,7.9,-17.8,-2.1,-7.1,-4.8,92.3
506,ŚNIEŻKA,1993,3,5.3,-17.5,-3.6,-8.0,-5.8,101.7
507,ŚNIEŻKA,1993,4,13.6,-10.9,3.4,-1.5,0.8,20.9
508,ŚNIEŻKA,1993,5,16.1,-3.0,10.7,4.8,7.1,89.4
509,ŚNIEŻKA,1993,6,16.7,-2.5,8.8,3.7,6.0,60.7
510,ŚNIEŻKA,1993,7,17.3,-1.0,10.0,4.8,7.0,84.1
511,ŚNIEŻKA,1993,8,20.1,-1.9,11.0,5.1,7.8,36.7
512,ŚNIEŻKA,1993,9,16.8,-3.5,6.9,2.3,4.5,55.0
513,ŚNIEŻKA,1993,10,12.1,-7.5,4.9,0.1,2.4,53.4
514,ŚNIEŻKA,1993,11,8.6,-14.8,-1.8,-6.8,-4.4,71.9
515,ŚNIEŻKA,1993,12,5.4,-11.7,-3.0,-7.4,-5.5,267.5
516,ŚNIEŻKA,1994,1,2.6,-14.6,-2.7,-6.9,-4.9,105.7
517,ŚNIEŻKA,1994,2,7.5,-22.7,-5.0,-10.1,-7.6,42.5
518,ŚNIEŻKA,1994,3,6.8,-9.6,-0.3,-5.5,-3.1,145.8
519,ŚNIEŻKA,1994,4,10.5,-8.2,1.3,-2.6,-0.8,82.7
520,ŚNIEŻKA,1994,5,13.9,-3.7,6.4,1.4,3.4,66.7
521,ŚNIEŻKA,1994,6,22.2,-2.7,10.3,4.3,6.8,26.1
522,ŚNIEŻKA,1994,7,23.3,2.8,15.7,11.0,13.1,109.2
523,ŚNIEŻKA,1994,8,23.5,0.5,12.4,7.5,9.5,142.6
524,ŚNIEŻKA,1994,9,17.1,-1.1,8.8,4.1,6.3,162.1
525,ŚNIEŻKA,1994,10,14.5,-10.2,2.4,-2.1,-0.1,79.3
526,ŚNIEŻKA,1994,11,9.9,-7.7,2.3,-2.5,-0.5,81.7
527,ŚNIEŻKA,1994,12,5.0,-11.3,-1.5,-5.8,-3.5,139.2
528,ŚNIEŻKA,1995,1,4.0,-17.1,-5.1,-10.0,-7.6,308.4
529,ŚNIEŻKA,1995,2,4.4,-13.5,-2.0,-7.0,-4.6,75.4
530,ŚNIEŻKA,1995,3,1.0,-16.0,-4.4,-8.4,-6.4,135.0
531,ŚNIEŻKA,1995,4,12.0,-10.4,1.9,-3.4,-0.9,87.9
532,ŚNIEŻKA,1995,5,16.7,-5.4,6.2,0.9,3.2,107.2
533,ŚNIEŻKA,1995,6,15.0,-0.3,8.7,4.2,6.3,175.4
534,ŚNIEŻKA,1995,7,21.1,3.2,14.9,9.7,11.9,131.8
535,ŚNIEŻKA,1995,8,17.8,-1.0,11.8,7.6,9.3,70.8
536,ŚNIEŻKA,1995,9,12.2,-5.2,6.3,2.7,4.3,115.0
537,ŚNIEŻKA,1995,10,16.0,-5.4,8.7,3.8,6.2,9.3
538,ŚNIEŻKA,1995,11,6.2,-13.6,-0.8,-5.8,-3.1,102.9
539,ŚNIEŻKA,1995,12,4.5,-17.7,-4.4,-10.1,-7.2,101.3
540,KŁODZKO,1991,1,14.1,-16.9,3.1,-3.5,-0.4,7.5
541,KŁODZKO,1991,2,9.7,-21.8,-1.2,-9.5,-5.4,9.3
542,KŁODZKO,1991,3,15.3,-6.7,8.7,1.4,4.5,18.9
543,KŁODZKO,1991,4,17.0,-3.8,11.4,1.4,6.3,32.4
544,KŁODZKO,1991,5,20.6,-1.2,13.4,4.0,8.5,59.9
545,KŁODZKO,1991,6,28.0,-0.5,19.6,8.5,13.9,73.9
546,KŁODZKO,1991,7,31.7,5.2,23.9,12.1,17.9,108.5
547,KŁODZKO,1991,8,30.1,4.4,22.5,11.2,16.7,69.9
548,KŁODZKO,1991,9,26.4,-2.3,19.8,8.0,13.7,47.0
549,KŁODZKO,1991,10,21.4,-7.1,11.7,2.7,6.7,9.2
550,KŁODZKO,1991,11,10.5,-8.4,4.7,-0.2,2.2,60.2
551,KŁODZKO,1991,12,8.1,-22.8,0.2,-6.2,-2.8,26.7
552,KŁODZKO,1992,1,6.6,-14.7,2.2,-3.0,-0.5,27.3
553,KŁODZKO,1992,2,10.1,-6.3,4.2,-1.5,1.1,34.8
554,KŁODZKO,1992,3,13.9,-4.7,7.3,-0.5,3.0,85.1
555,KŁODZKO,1992,4,23.6,-5.6,12.4,2.6,7.3,28.5
556,KŁODZKO,1992,5,24.9,0.5,18.6,6.1,12.8,8.1
557,KŁODZKO,1992,6,27.4,5.7,22.3,10.4,16.6,61.4
558,KŁODZKO,1992,7,31.2,6.4,24.8,11.5,18.2,61.6
559,KŁODZKO,1992,8,35.1,8.3,28.6,13.5,20.8,30.2
560,KŁODZKO,1992,9,23.8,0.6,19.6,7.8,13.1,23.9
561,KŁODZKO,1992,10,20.6,-4.8,10.0,2.6,6.0,56.9
562,KŁODZKO,1992,11,12.8,-4.8,6.3,1.2,3.5,9.3
563,KŁODZKO,1992,12,8.9,-15.3,0.7,-4.0,-1.8,43.1
564,KŁODZKO,1993,1,15.1,-23.5,3.8,-3.5,0.0,8.8
565,KŁODZKO,1993,2,6.3,-17.1,1.4,-6.6,-2.8,20.6
566,KŁODZKO,1993,3,16.4,-18.0,4.7,-3.4,0.4,29.3
567,KŁODZKO,1993,4,24.5,-5.4,14.1,1.9,8.2,5.6
568,KŁODZKO,1993,5,26.2,2.0,20.9,6.9,14.0,31.4
569,KŁODZKO,1993,6,27.5,4.7,20.4,9.7,14.9,55.9
570,KŁODZKO,1993,7,28.1,3.7,21.6,10.2,15.7,87.4
571,KŁODZKO,1993,8,31.6,3.9,22.8,9.8,16.0,17.7
572,KŁODZKO,1993,9,25.4,0.1,17.4,7.6,12.1,61.4
573,KŁODZKO,1993,10,21.2,-3.8,11.6,4.6,7.8,63.1
574,KŁODZKO,1993,11,11.5,-14.0,2.2,-2.8,-0.5,32.3
575,KŁODZKO,1993,12,11.8,-10.1,4.3,-0.9,1.8,44.4
576,KŁODZKO,1994,1,11.0,-12.9,4.6,-0.7,2.0,24.2
577,KŁODZKO,1994,2,12.6,-17.7,1.6,-5.5,-2.0,17.7
578,KŁODZKO,1994,3,18.7,-3.8,8.7,1.5,5.0,64.7
579,KŁODZKO,1994,4,23.0,-3.1,12.4,2.0,7.5,54.0
580,KŁODZKO,1994,5,25.0,-2.7,17.5,6.1,11.8,71.8
581,KŁODZKO,1994,6,32.0,1.5,21.4,8.5,15.3,18.2
582,KŁODZKO,1994,7,34.5,6.7,27.2,11.1,19.6,36.5
583,KŁODZKO,1994,8,35.0,4.9,23.7,11.1,17.3,149.6
584,KŁODZKO,1994,9,24.6,2.5,18.4,8.9,13.6,93.4
585,KŁODZKO,1994,10,18.9,-6.5,11.0,1.6,6.2,22.1
586,KŁODZKO,1994,11,15.8,-3.9,7.2,1.5,4.4,18.1
587,KŁODZKO,1994,12,12.2,-8.8,3.6,-1.3,1.1,26.3
588,KŁODZKO,1995,1,10.4,-13.4,0.7,-3.9,-1.5,19.6
589,KŁODZKO,1995,2,12.3,-11.8,6.3,0.2,3.3,22.5
590,KŁODZKO,1995,3,14.3,-6.9,6.1,-1.4,2.0,38.0
591,KŁODZKO,1995,4,24.2,-1.8,12.0,3.4,7.4,60.8
592,KŁODZKO,1995,5,26.3,-1.3,17.3,5.9,11.6,58.6
593,KŁODZKO,1995,6,26.0,4.4,19.6,10.3,14.6,110.5
594,KŁODZKO,1995,7,31.5,8.0,25.9,12.3,19.1,65.5
595,KŁODZKO,1995,8,29.0,4.8,22.9,10.2,16.7,83.7
596,KŁODZKO,1995,9,23.9,1.7,16.4,8.2,12.2,120.9
597,KŁODZKO,1995,10,23.7,-3.1,15.3,6.2,10.6,6.9
598,KŁODZKO,1995,11,9.7,-12.7,2.7,-2.3,0.4,38.6
599,KŁODZKO,1995,12,8.9,-20.3,-1.4,-6.4,-3.9,34.4
414,JELENIA GÓRA,1996,1,7.9,-16.5,-2.1,-9.4,-5.9,6.5
415,JELENIA GÓRA,1996,2,6.8,-23.5,-0.1,-9.2,-4.7,29.4
416,JELENIA GÓRA,1996,3,9.3,-23.6,2.4,-5.9,-1.8,41.6
417,JELENIA GÓRA,1996,4,26.9,-9.2,12.9,-0.8,6.1,44.5
418,JELENIA GÓRA,1996,5,27.2,-1.1,16.3,6.4,11.4,103.3
419,JELENIA GÓRA,1996,6,31.6,3.4,21.1,9.1,15.0,60.4
420,JELENIA GÓRA,1996,7,26.4,2.7,20.4,9.3,14.9,152.2
421,JELENIA GÓRA,1996,8,27.2,5.7,22.0,10.2,16.0,72.6
422,JELENIA GÓRA,1996,9,21.2,0.6,13.1,6.2,9.2,109.7
423,JELENIA GÓRA,1996,10,22.3,-4.4,14.0,5.0,9.2,42.2
424,JELENIA GÓRA,1996,11,18.4,-9.4,8.7,1.0,4.9,20.2
425,JELENIA GÓRA,1996,12,7.8,-29.5,-1.5,-12.3,-7.2,23.2
426,JELENIA GÓRA,1997,1,7.5,-25.3,-0.7,-9.7,-5.3,13.7
427,JELENIA GÓRA,1997,2,14.7,-15.6,6.7,-3.1,2.0,24.4
428,JELENIA GÓRA,1997,3,18.0,-10.1,9.2,-2.3,3.2,31.2
429,JELENIA GÓRA,1997,4,16.8,-8.1,9.8,-1.0,4.3,69.1
430,JELENIA GÓRA,1997,5,27.8,-0.1,18.1,6.3,12.3,72.3
431,JELENIA GÓRA,1997,6,30.1,2.6,20.9,9.3,15.4,84.3
432,JELENIA GÓRA,1997,7,25.1,6.5,21.0,11.3,15.9,409.6
433,JELENIA GÓRA,1997,8,28.5,5.8,24.3,10.0,17.2,65.0
434,JELENIA GÓRA,1997,9,26.4,-0.8,19.0,6.2,12.2,39.5
435,JELENIA GÓRA,1997,10,21.6,-8.6,10.7,1.1,5.8,53.1
436,JELENIA GÓRA,1997,11,17.8,-9.5,6.5,-1.6,2.6,44.8
437,JELENIA GÓRA,1997,12,11.4,-16.2,4.1,-2.5,0.9,62.1
438,JELENIA GÓRA,1998,1,13.0,-17.9,4.9,-4.0,0.2,42.5
439,JELENIA GÓRA,1998,2,16.8,-26.2,8.3,-2.8,3.0,30.0
440,JELENIA GÓRA,1998,3,20.4,-15.6,7.3,-2.9,2.3,72.2
441,JELENIA GÓRA,1998,4,22.3,-3.9,14.8,3.3,9.2,80.3
442,JELENIA GÓRA,1998,5,28.0,0.0,19.1,6.0,12.7,49.5
443,JELENIA GÓRA,1998,6,33.0,4.4,21.6,10.6,16.0,117.8
444,JELENIA GÓRA,1998,7,32.7,5.9,21.8,11.3,16.4,68.6
445,JELENIA GÓRA,1998,8,30.1,4.7,22.1,9.6,15.6,48.6
446,JELENIA GÓRA,1998,9,26.5,1.2,17.5,7.8,12.5,84.3
447,JELENIA GÓRA,1998,10,19.3,-3.7,11.8,4.0,7.9,71.1
448,JELENIA GÓRA,1998,11,10.3,-16.6,3.1,-3.6,-0.2,42.2
449,JELENIA GÓRA,1998,12,14.2,-25.6,2.8,-6.4,-1.6,25.6
450,JELENIA GÓRA,1999,1,16.6,-18.5,5.1,-3.7,0.8,27.0
451,JELENIA GÓRA,1999,2,13.0,-17.4,2.0,-4.8,-1.0,49.6
452,JELENIA GÓRA,1999,3,19.9,-7.7,9.4,-0.2,4.6,32.7
453,JELENIA GÓRA,1999,4,18.6,-5.0,13.6,2.0,7.9,33.5
454,JELENIA GÓRA,1999,5,27.9,-0.6,18.8,5.9,12.6,66.6
455,JELENIA GÓRA,1999,6,26.1,3.4,19.9,9.4,14.5,174.0
456,JELENIA GÓRA,1999,7,30.9,6.5,23.5,11.5,17.8,66.7
457,JELENIA GÓRA,1999,8,28.4,3.2,22.5,8.7,15.9,25.7
458,JELENIA GÓRA,1999,9,25.7,3.8,22.0,8.7,15.6,41.7
459,JELENIA GÓRA,1999,10,20.3,-6.8,12.7,3.7,8.3,46.6
460,JELENIA GÓRA,1999,11,16.2,-10.5,5.9,-1.9,2.0,35.6
461,JELENIA GÓRA,1999,12,10.5,-15.9,4.1,-3.3,1.1,12.9
462,JELENIA GÓRA,2000,1,8.9,-20.7,1.8,-6.9,-1.9,59.1
463,JELENIA GÓRA,2000,2,14.9,-15.1,6.3,-2.1,2.3,44.0
464,JELENIA GÓRA,2000,3,16.2,-6.2,7.6,-0.6,3.5,114.9
465,JELENIA GÓRA,2000,4,26.2,-4.1,17.0,3.7,10.7,22.3
466,JELENIA GÓRA,2000,5,29.4,-0.2,21.2,6.0,14.1,69.0
467,JELENIA GÓRA,2000,6,33.5,1.0,22.9,8.9,16.4,59.6
468,JELENIA GÓRA,2000,7,25.4,6.2,19.3,10.2,14.9,146.0
469,JELENIA GÓRA,2000,8,32.4,3.4,24.0,9.6,17.1,61.7
470,JELENIA GÓRA,2000,9,24.5,-2.2,17.5,6.5,12.3,44.1
471,JELENIA GÓRA,2000,10,23.7,-3.8,16.0,5.8,11.4,37.3
472,JELENIA GÓRA,2000,11,13.7,-8.5,10.3,-0.1,6.0,27.9
473,JELENIA GÓRA,2000,12,13.0,-13.5,4.9,-3.7,0.8,14.0
474,ŚNIEŻKA,1996,1,8.8,-20.7,-2.9,-8.3,-5.6,17.9
475,ŚNIEŻKA,1996,2,4.7,-20.2,-6.3,-11.7,-9.1,64.7
476,ŚNIEŻKA,1996,3,1.6,-16.0,-5.7,-9.8,-8.0,64.9
477,ŚNIEŻKA,1996,4,12.3,-14.0,2.5,-2.5,-0.1,44.6
478,ŚNIEŻKA,1996,5,16.8,-4.7,7.6,2.4,4.7,125.8
479,ŚNIEŻKA,1996,6,20.7,-2.0,10.2,5.0,7.3,76.3
480,ŚNIEŻKA,1996,7,15.1,-0.4,9.5,4.4,6.5,129.6
481,ŚNIEŻKA,1996,8,16.0,2.0,11.1,7.2,8.9,130.0
482,ŚNIEŻKA,1996,9,9.8,-2.5,2.8,-0.1,1.4,136.4
483,ŚNIEŻKA,1996,10,9.5,-4.6,4.1,0.4,2.0,77.5
484,ŚNIEŻKA,1996,11,7.3,-11.5,0.1,-4.4,-2.3,89.3
485,ŚNIEŻKA,1996,12,6.7,-21.2,-4.0,-9.5,-6.9,63.3
486,ŚNIEŻKA,1997,1,9.5,-16.3,-0.6,-6.3,-3.7,29.9
487,ŚNIEŻKA,1997,2,2.0,-14.0,-2.5,-7.4,-5.1,121.7
488,ŚNIEŻKA,1997,3,8.2,-14.5,-1.1,-6.4,-3.9,46.7
489,ŚNIEŻKA,1997,4,5.5,-13.8,-1.7,-6.9,-4.5,115.1
490,ŚNIEŻKA,1997,5,17.4,-5.8,7.0,2.0,4.1,54.4
491,ŚNIEŻKA,1997,6,19.1,-2.6,9.5,5.1,7.1,105.7
492,ŚNIEŻKA,1997,7,12.9,3.8,10.0,6.3,8.0,357.4
493,ŚNIEŻKA,1997,8,17.0,3.2,13.0,8.9,10.7,30.8
494,ŚNIEŻKA,1997,9,15.5,-3.3,8.6,3.5,5.7,35.2
495,ŚNIEŻKA,1997,10,12.8,-11.3,2.0,-2.9,-0.7,98.2
496,ŚNIEŻKA,1997,11,6.8,-13.0,-0.1,-4.7,-2.6,82.5
497,ŚNIEŻKA,1997,12,5.4,-19.1,-1.9,-6.6,-4.1,188.3
498,ŚNIEŻKA,1998,1,10.5,-19.4,-1.4,-6.5,-4.1,135.6
499,ŚNIEŻKA,1998,2,6.7,-20.4,0.4,-4.7,-2.1,17.7
500,ŚNIEŻKA,1998,3,7.6,-14.9,-3.7,-8.7,-6.4,118.1
501,ŚNIEŻKA,1998,4,10.0,-8.0,2.7,-1.3,0.5,61.4
502,ŚNIEŻKA,1998,5,16.5,-5.0,7.3,2.1,4.5,35.9
503,ŚNIEŻKA,1998,6,21.3,-1.2,11.1,5.8,8.1,110.7
504,ŚNIEŻKA,1998,7,22.0,-0.6,10.6,5.8,7.8,91.7
505,ŚNIEŻKA,1998,8,21.5,-0.5,11.4,6.0,8.3,87.5
506,ŚNIEŻKA,1998,9,13.2,-1.7,7.2,3.8,5.4,146.4
507,ŚNIEŻKA,1998,10,8.8,-5.7,3.3,-1.0,1.0,240.3
508,ŚNIEŻKA,1998,11,5.1,-16.8,-3.8,-7.4,-5.6,114.8
509,ŚNIEŻKA,1998,12,5.6,-14.6,-3.0,-8.1,-5.7,82.5
510,ŚNIEŻKA,1999,1,7.7,-22.7,-1.6,-6.5,-4.1,102.4
511,ŚNIEŻKA,1999,2,3.1,-18.3,-5.8,-10.5,-8.2,90.9
512,ŚNIEŻKA,1999,3,7.5,-11.0,-0.6,-4.7,-2.8,57.0
513,ŚNIEŻKA,1999,4,6.8,-7.7,2.3,-1.7,0.3,53.3
514,ŚNIEŻKA,1999,5,18.8,-4.2,7.2,1.8,4.2,57.4
515,ŚNIEŻKA,1999,6,14.7,-1.2,9.3,4.6,6.7,107.2
516,ŚNIEŻKA,1999,7,21.0,2.6,12.6,8.0,10.0,127.8
517,ŚNIEŻKA,1999,8,17.1,1.5,10.8,6.5,8.3,55.1
518,ŚNIEŻKA,1999,9,16.0,2.4,10.9,7.4,9.0,88.8
519,ŚNIEŻKA,1999,10,12.3,-9.4,3.1,-1.3,0.6,65.2
520,ŚNIEŻKA,1999,11,7.0,-12.2,-1.5,-5.8,-3.7,55.6
521,ŚNIEŻKA,1999,12,0.4,-13.5,-5.2,-9.0,-7.2,208.0
522,ŚNIEŻKA,2000,1,0.2,-18.6,-4.8,-10.1,-7.2,64.9
523,ŚNIEŻKA,2000,2,5.6,-12.9,-3.4,-7.4,-5.5,169.9
524,ŚNIEŻKA,2000,3,2.6,-14.1,-2.1,-6.6,-4.4,157.1
525,ŚNIEŻKA,2000,4,14.7,-11.2,5.7,0.3,2.8,28.3
526,ŚNIEŻKA,2000,5,16.8,-2.1,9.9,4.2,6.6,83.7
527,ŚNIEŻKA,2000,6,22.0,-2.5,11.8,5.5,8.2,52.9
528,ŚNIEŻKA,2000,7,14.7,0.8,8.3,4.8,6.4,133.9
529,ŚNIEŻKA,2000,8,21.2,1.7,12.8,8.0,10.0,35.5
530,ŚNIEŻKA,2000,9,14.6,-1.2,8.5,3.9,5.9,73.6
531,ŚNIEŻKA,2000,10,14.8,-2.6,7.3,2.7,5.0,63.9
532,ŚNIEŻKA,2000,11,11.2,-6.8,2.0,-2.6,-0.3,72.0
533,ŚNIEŻKA,2000,12,10.2,-13.3,0.2,-4.0,-1.9,90.1
534,KŁODZKO,1996,1,6.5,-16.8,-3.3,-7.5,-5.3,8.8
535,KŁODZKO,1996,2,6.2,-21.6,-2.1,-8.8,-5.5,18.0
536,KŁODZKO,1996,3,6.2,-20.3,1.1,-4.8,-2.1,23.5
537,KŁODZKO,1996,4,22.9,-9.3,11.9,1.5,6.4,49.8
538,KŁODZKO,1996,5,24.7,4.1,16.7,8.3,12.3,107.1
539,KŁODZKO,1996,6,30.2,5.0,20.9,10.2,15.4,64.2
540,KŁODZKO,1996,7,26.0,3.8,20.7,10.5,15.3,71.4
541,KŁODZKO,1996,8,27.3,7.4,22.0,11.1,16.2,73.9
542,KŁODZKO,1996,9,22.0,1.5,12.8,6.9,9.5,72.8
543,KŁODZKO,1996,10,19.3,-2.6,13.0,6.5,9.3,45.7
544,KŁODZKO,1996,11,16.3,-6.3,7.7,3.2,5.3,22.1
545,KŁODZKO,1996,12,3.7,-28.1,-2.7,-9.2,-6.0,19.5
546,KŁODZKO,1997,1,1.8,-19.5,-2.8,-8.8,-5.7,13.8
547,KŁODZKO,1997,2,13.4,-16.8,4.6,-2.7,1.2,26.5
548,KŁODZKO,1997,3,15.4,-7.7,8.1,-1.1,3.2,18.8
549,KŁODZKO,1997,4,17.4,-5.6,9.8,-0.6,4.5,25.3
550,KŁODZKO,1997,5,27.2,1.9,17.9,7.4,12.5,89.3
551,KŁODZKO,1997,6,28.6,3.5,20.8,9.6,15.5,91.4
552,KŁODZKO,1997,7,25.6,7.0,20.9,11.3,15.9,246.8
553,KŁODZKO,1997,8,28.0,6.8,23.8,10.1,17.2,51.4
554,KŁODZKO,1997,9,26.5,-0.6,19.0,7.2,13.0,34.7
555,KŁODZKO,1997,10,20.4,-6.9,10.3,2.4,6.1,44.3
556,KŁODZKO,1997,11,16.0,-7.5,5.6,0.1,2.8,41.7
557,KŁODZKO,1997,12,11.2,-19.8,2.9,-1.8,0.6,46.0
558,KŁODZKO,1998,1,10.2,-14.4,3.0,-2.1,0.3,23.3
559,KŁODZKO,1998,2,14.7,-21.5,6.9,-1.1,3.0,10.3
560,KŁODZKO,1998,3,17.7,-10.7,6.6,-1.7,2.2,42.8
561,KŁODZKO,1998,4,21.6,-2.8,14.3,3.9,9.1,27.4
562,KŁODZKO,1998,5,26.4,0.2,19.0,6.2,12.8,31.1
563,KŁODZKO,1998,6,30.5,4.7,21.7,10.9,16.1,192.1
564,KŁODZKO,1998,7,32.1,6.5,22.0,12.2,16.8,137.5
565,KŁODZKO,1998,8,29.4,6.1,22.2,10.8,16.3,36.8
566,KŁODZKO,1998,9,21.6,4.1,16.7,8.9,12.6,95.7
567,KŁODZKO,1998,10,17.0,0.0,10.8,5.2,7.8,85.7
568,KŁODZKO,1998,11,8.5,-15.1,1.9,-2.6,-0.5,20.5
569,KŁODZKO,1998,12,7.9,-19.2,0.6,-4.3,-2.0,10.6
570,KŁODZKO,1999,1,12.1,-16.2,3.1,-2.1,0.2,15.9
571,KŁODZKO,1999,2,10.4,-15.9,0.6,-4.8,-1.7,39.1
572,KŁODZKO,1999,3,18.6,-5.5,8.4,1.3,4.5,31.7
573,KŁODZKO,1999,4,18.4,-3.0,13.8,3.6,8.6,47.4
574,KŁODZKO,1999,5,27.2,0.0,18.5,6.6,12.6,28.8
575,KŁODZKO,1999,6,25.6,3.5,19.9,10.4,15.0,144.3
576,KŁODZKO,1999,7,29.7,6.8,23.7,12.8,18.1,121.7
577,KŁODZKO,1999,8,29.6,2.9,22.6,9.7,16.1,23.4
578,KŁODZKO,1999,9,24.9,4.0,21.4,9.8,15.5,31.8
579,KŁODZKO,1999,10,21.9,-4.8,12.2,4.5,8.2,26.6
580,KŁODZKO,1999,11,14.4,-7.3,4.5,-0.8,1.8,43.9
581,KŁODZKO,1999,12,10.5,-11.6,2.2,-2.6,0.1,20.0
582,KŁODZKO,2000,1,6.9,-18.0,0.3,-5.6,-2.4,28.6
583,KŁODZKO,2000,2,12.3,-7.4,5.2,-0.7,2.3,29.6
584,KŁODZKO,2000,3,14.5,-4.6,6.9,0.3,3.4,74.1
585,KŁODZKO,2000,4,25.4,-3.5,17.2,4.4,10.7,26.1
586,KŁODZKO,2000,5,26.2,-1.2,20.6,6.9,13.7,82.7
587,KŁODZKO,2000,6,31.7,2.0,22.4,9.2,16.0,87.5
588,KŁODZKO,2000,7,26.8,6.1,19.7,11.0,15.1,161.2
589,KŁODZKO,2000,8,32.2,5.0,24.3,11.4,17.6,26.8
590,KŁODZKO,2000,9,24.5,-0.1,17.0,8.0,12.2,46.5
591,KŁODZKO,2000,10,22.8,-0.6,15.7,8.8,11.8,28.7
592,KŁODZKO,2000,11,13.4,-3.2,9.7,3.4,6.5,44.8
593,KŁODZKO,2000,12,13.4,-9.5,3.3,-0.9,1.2,19.9
72,JELENIA GÓRA,2001,1,10.7,-14.5,3.1,-5.2,-0.5,18.1
73,JELENIA GÓRA,2001,2,13.0,-20.2,4.8,-5.2,0.2,44.5
74,JELENIA GÓRA,2001,3,15.2,-12.0,7.3,-2.3,2.6,55.2
75,JELENIA GÓRA,2001,4,23.7,-5.6,12.1,0.3,6.5,73.7
76,JELENIA GÓRA,2001,5,26.7,-0.4,19.2,6.5,13.5,41.8
77,JELENIA GÓRA,2001,6,26.3,0.3,18.8,7.6,13.4,84.5
78,JELENIA GÓRA,2001,7,28.0,7.4,23.0,12.0,17.5,254.0
79,JELENIA GÓRA,2001,8,30.0,4.4,23.8,12.4,17.7,79.5
80,JELENIA GÓRA,2001,9,21.1,1.3,15.1,7.5,11.2,104.6
81,JELENIA GÓRA,2001,10,24.9,-0.8,17.4,6.1,11.5,27.0
82,JELENIA GÓRA,2001,11,12.2,-12.6,5.5,-1.5,2.0,56.3
83,JELENIA GÓRA,2001,12,5.9,-18.4,0.7,-7.2,-2.8,46.3
84,ŚNIEŻKA,2001,1,0.5,-13.5,-4.1,-8.5,-6.3,76.8
85,ŚNIEŻKA,2001,2,6.9,-17.3,-3.2,-8.1,-5.8,107.7
86,ŚNIEŻKA,2001,3,8.1,-14.0,-1.2,-6.9,-4.2,114.0
87,ŚNIEŻKA,2001,4,11.3,-11.1,0.7,-3.9,-1.9,82.8
88,ŚNIEŻKA,2001,5,13.9,-2.0,8.4,3.6,5.7,49.5
89,ŚNIEŻKA,2001,6,17.5,-2.6,7.4,3.3,5.1,139.1
90,ŚNIEŻKA,2001,7,17.1,2.6,12.1,7.6,9.6,164.7
91,ŚNIEŻKA,2001,8,20.3,0.4,13.3,8.3,10.5,81.6
92,ŚNIEŻKA,2001,9,8.7,-2.1,4.8,1.7,3.2,182.6
93,ŚNIEŻKA,2001,10,16.2,-1.9,8.5,3.9,6.1,42.2
94,ŚNIEŻKA,2001,11,6.2,-11.9,-1.6,-6.7,-4.6,86.3
95,ŚNIEŻKA,2001,12,2.6,-23.7,-6.0,-10.9,-8.4,130.9
96,KŁODZKO,2001,1,7.8,-13.8,1.3,-2.9,-0.7,23.0
